,Link,Title,Description,Years,Hours,Rated
28,https://www.imdb.com//title/tt0245429/?ref_=sr_t_28,28. Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",2001,2h 4m,PG
29,https://www.imdb.com//title/tt0120815/?ref_=sr_t_29,29. Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,2h 49m,R
30,https://www.imdb.com//title/tt0118799/?ref_=sr_t_30,30. Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,1h 56m,PG-13
31,https://www.imdb.com//title/tt0038650/?ref_=sr_t_31,31. It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1946,2h 10m,PG
32,https://www.imdb.com//title/tt0047478/?ref_=sr_t_32,32. Seven Samurai,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",1954,3h 27m,Not Rated
33,https://www.imdb.com//title/tt0056058/?ref_=sr_t_33,33. Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,2h 13m,Not Rated
34,https://www.imdb.com//title/tt15239678/?ref_=sr_t_34,34. Dune: Part Two,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,2024,2h 46m,PG-13
35,https://www.imdb.com//title/tt0078748/?ref_=sr_t_35,35. Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1979,1h 57m,R
36,https://www.imdb.com//title/tt0172495/?ref_=sr_t_36,36. Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,2h 35m,R
37,https://www.imdb.com//title/tt0095327/?ref_=sr_t_37,37. Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,1h 28m,Not Rated
38,https://www.imdb.com//title/tt6751668/?ref_=sr_t_38,38. Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,2h 12m,R
39,https://www.imdb.com//title/tt2582802/?ref_=sr_t_39,39. Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,1h 46m,R
40,https://www.imdb.com//title/tt0088763/?ref_=sr_t_40,40. Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,1h 56m,PG
